path,class
img8223.jpeg,pneumonia
img4325.jpg,pneumonia
img6532.jpg,pneumonia
img10118.jpeg,pneumonia
img9961.jpeg,pneumonia
img8673.jpeg,pneumonia
img7586.jpeg,pneumonia
img6254.jpg,pneumonia
img8389.jpeg,pneumonia
img5985.jpg,pneumonia
img4443.jpg,pneumonia
img5749.jpg,pneumonia
img9432.jpeg,pneumonia
img5991.jpg,pneumonia
img3338.jpg,pneumonia
img4457.jpg,pneumonia
img6240.jpg,pneumonia
img6526.jpg,pneumonia
img9062.jpeg,pneumonia
img4331.jpg,pneumonia
img9598.jpeg,pneumonia
img9577.jpeg,pneumonia
img4319.jpg,pneumonia
img3476.jpg,pneumonia
img7990.jpeg,pneumonia
img6682.jpeg,pneumonia
img5007.jpg,pneumonia
img5761.jpg,pneumonia
img6728.jpeg,pneumonia
img3310.jpg,pneumonia
img9127.jpeg,pneumonia
img6268.jpg,pneumonia
img7569.jpeg,pneumonia
img8366.jpeg,pneumonia
img5775.jpg,pneumonia
img3304.jpg,pneumonia
img7093.jpeg,pneumonia
img3462.jpg,pneumonia
img7139.jpeg,pneumonia
img5013.jpg,pneumonia
img9824.jpeg,pneumonia
img8736.jpeg,pneumonia
img3489.jpg,pneumonia
img5946.jpg,pneumonia
img4480.jpg,pneumonia
img6297.jpg,pneumonia
img6283.jpg,pneumonia
img7210.jpeg,pneumonia
img5952.jpg,pneumonia
img4494.jpg,pneumonia
img10374.jpeg,pneumonia
img7640.jpeg,pneumonia
img6952.jpeg,pneumonia
img7355.jpeg,pneumonia
img10231.jpeg,pneumonia
img7705.jpeg,pneumonia
img6817.jpeg,pneumonia
img8809.jpeg,pneumonia
img7928.jpeg,pneumonia
img4641.jpg,pneumonia
img4899.jpg,pneumonia
img6056.jpg,pneumonia
img9035.jpeg,pneumonia
img3890.jpg,pneumonia
img9465.jpeg,pneumonia
img5239.jpg,pneumonia
img3648.jpg,pneumonia
img7882.jpeg,pneumonia
img3068.jpeg,pneumonia
img6790.jpeg,pneumonia
img4127.jpg,pneumonia
img3884.jpg,pneumonia
img4133.jpg,pneumonia
img9936.jpeg,pneumonia
img8624.jpeg,pneumonia
img6042.jpg,pneumonia
img4655.jpg,pneumonia
img8274.jpeg,pneumonia
img7181.jpeg,pneumonia
img9873.jpeg,pneumonia
img8761.jpeg,pneumonia
img7494.jpeg,pneumonia
img5563.jpg,pneumonia
img5205.jpg,pneumonia
img8331.jpeg,pneumonia
img3674.jpg,pneumonia
img9170.jpeg,pneumonia
img5211.jpg,pneumonia
img3087.jpeg,pneumonia
img3660.jpg,pneumonia
img4669.jpg,pneumonia
img9520.jpeg,pneumonia
img5577.jpg,pneumonia
img6095.jpg,pneumonia
img8018.jpeg,pneumonia
img10323.jpeg,pneumonia
img7617.jpeg,pneumonia
img4682.jpg,pneumonia
img6905.jpeg,pneumonia
img3853.jpg,pneumonia
img8448.jpeg,pneumonia
img10289.jpeg,pneumonia
img7247.jpeg,pneumonia
img9609.jpeg,pneumonia
img3847.jpg,pneumonia
img5588.jpg,pneumonia
img4696.jpg,pneumonia
img9259.jpeg,pneumonia
img6081.jpg,pneumonia
img4866.jpg,pneumonia
img10266.jpeg,pneumonia
img7752.jpeg,pneumonia
img6840.jpeg,pneumonia
img7302.jpeg,pneumonia
img4872.jpg,pneumonia
img7197.jpeg,pneumonia
img4735.jpg,pneumonia
img8262.jpeg,pneumonia
img10159.jpeg,pneumonia
img8798.jpeg,pneumonia
img6122.jpg,pneumonia
img8632.jpeg,pneumonia
img9920.jpeg,pneumonia
img4053.jpg,pneumonia
img6786.jpeg,pneumonia
img4047.jpg,pneumonia
img3728.jpg,pneumonia
img7894.jpeg,pneumonia
img9473.jpeg,pneumonia
img5359.jpg,pneumonia
img9189.jpeg,pneumonia
img9023.jpeg,pneumonia
img6136.jpg,pneumonia
img4721.jpg,pneumonia
img5417.jpg,pneumonia
img4709.jpg,pneumonia
img9536.jpeg,pneumonia
img3700.jpg,pneumonia
img6769.jpeg,pneumonia
img3091.jpeg,pneumonia
img5371.jpg,pneumonia
img9166.jpeg,pneumonia
img7528.jpeg,pneumonia
img3714.jpg,pneumonia
img5365.jpg,pneumonia
img8327.jpeg,pneumonia
img5403.jpg,pneumonia
img7178.jpeg,pneumonia
img3072.jpg,pneumonia
img7482.jpeg,pneumonia
img8777.jpeg,pneumonia
img9865.jpeg,pneumonia
img3927.jpg,pneumonia
img4090.jpg,pneumonia
img7251.jpeg,pneumonia
img3933.jpg,pneumonia
img4084.jpg,pneumonia
img6913.jpeg,pneumonia
img7601.jpeg,pneumonia
img10335.jpeg,pneumonia
img4912.jpg,pneumonia
img7314.jpeg,pneumonia
img6856.jpeg,pneumonia
img7744.jpeg,pneumonia
img10270.jpeg,pneumonia
img8848.jpeg,pneumonia
img4906.jpg,pneumonia
img4251.jpg,pneumonia
img7969.jpeg,pneumonia
img9074.jpeg,pneumonia
img6446.jpg,pneumonia
img6320.jpg,pneumonia
img4537.jpg,pneumonia
img3258.jpg,pneumonia
img5629.jpg,pneumonia
img9424.jpeg,pneumonia
img4523.jpg,pneumonia
